TransactionID,CustomerID,Date,ProductID,Price_x,Qty,TotalAmount,Product Name,Price_y,StoreName,GroupStore,Type,Age,Gender,Marital Status,Income
TR11369,328,2022-01-01,P3,7500,4,30000,Crackers,7500,Prestasi Utama,Prestasi,General Trade,36,0,Married,"10,53"
TR16356,165,2022-01-01,P9,10000,7,70000,Yoghurt,10000,Prima Tendean,Prima,Modern Trade,44,1,Married,"14,58"
TR1984,183,2022-01-01,P1,8800,4,35200,Choco Bar,8800,Gita Ginara,Gita,General Trade,27,1,Single,"0,18"
TR35256,160,2022-01-01,P1,8800,7,61600,Choco Bar,8800,Gita Ginara,Gita,General Trade,48,1,Married,"12,57"
TR41231,386,2022-01-01,P9,10000,1,10000,Yoghurt,10000,Gita Ginara,Gita,General Trade,33,0,Married,"6,95"
TR51675,283,2022-01-01,P10,15000,1,15000,Cheese Stick,15000,Bonafid,Gita,General Trade,19,1,Single,0
TR54287,51,2022-01-01,P8,16000,2,32000,Oat,16000,Prima Kelapa Dua,Prima,Modern Trade,36,0,Married,"7,95"
TR67455,49,2022-01-01,P5,4200,3,12600,Thai Tea,4200,Buana,Buana,General Trade,44,1,Married,"13,48"
TR73041,222,2022-01-01,P9,10000,6,60000,Yoghurt,10000,Gita Ginara,Gita,General Trade,45,0,Married,"15,03"
TR7596,270,2022-01-01,P7,9400,2,18800,Coffee Candy,9400,Priangan,Priangan,Modern Trade,49,1,Married,"8,81"
TR76340,287,2022-01-01,P4,12000,4,48000,Potato Chip,12000,Prestasi Utama,Prestasi,General Trade,36,0,Single,"3,7"
TR97336,233,2022-01-01,P7,9400,2,18800,Coffee Candy,9400,Prestasi Utama,Prestasi,General Trade,43,1,Married,"5,69"
TR99839,123,2022-01-01,P2,3200,6,19200,Ginger Candy,3200,Prima Tendean,Prima,Modern Trade,34,0,Married,"4,36"
TR14355,203,2022-02-01,P3,7500,4,30000,Crackers,7500,Harapan Baru,Harapan Baru,General Trade,53,0,Married,"17,2"
TR16534,421,2022-02-01,P3,7500,2,15000,Crackers,7500,Priangan,Priangan,Modern Trade,35,0,Married,"9,01"
TR2045,32,2022-02-01,P7,9400,4,37600,Coffee Candy,9400,Bonafid,Gita,General Trade,34,0,Married,"10,96"
TR20925,159,2022-02-01,P10,15000,2,30000,Cheese Stick,15000,Buana,Buana,General Trade,53,1,Married,"13,65"
TR26678,321,2022-02-01,P6,18000,3,54000,Cashew,18000,Prestasi Utama,Prestasi,General Trade,45,0,Married,"8,03"
TR29436,335,2022-02-01,P6,18000,3,54000,Cashew,18000,Prima Kota,Prima,Modern Trade,29,1,Single,"4,74"
TR30993,14,2022-02-01,P10,15000,2,30000,Cheese Stick,15000,Lingga,Lingga,Modern Trade,58,1,Married,"10,18"
TR33449,18,2022-02-01,P6,18000,2,36000,Cashew,18000,Lingga,Lingga,Modern Trade,47,0,Married,"13,6"
TR34291,333,2022-02-01,P7,9400,2,18800,Coffee Candy,9400,Buana Indah,Buana,General Trade,47,0,Married,"17,99"
TR3533,24,2022-02-01,P6,18000,3,54000,Cashew,18000,Harapan Baru,Harapan Baru,General Trade,37,0,Married,"9,53"
TR46701,48,2022-02-01,P2,3200,6,19200,Ginger Candy,3200,Lingga,Lingga,Modern Trade,32,0,Married,"10,62"
